"","X","Y","DDEG0","SLOPE","MIND","SOLRAD","TPI","ELEV"
"1",557747.6,149726.8,30906,5.41,-197,6875251,30,696
"2",572499.4,145503.5,27988,14.39,-59,4948177,-144,897
"3",579100.4,151800.4,16566,33.85,208,8146569,106,1641
"4",581301.7,150300.1,22322,16.35,26,7514431,-72,1228
"5",579838.7,124770.9,12382,3.04,533,4880184,-201,2148
"6",577011.1,121328.6,8693,41.51,738,5510103,2,2502
"7",579304.5,153215.5,12461,29.83,359,7674045,50,2006
"8",581699.8,150900.1,20655,24.41,63,8074538,-66,1345
"9",571298.5,137897.7,13633,39.08,309,7973924,-75,1945
"10",583602.3,147106,20717,6.21,175,6102382,-24,1372
"11",564607.9,133295.2,24557,14.61,-96,6021663,-48,1164
"12",580497.4,127198.7,10949,25.54,606,8109782,-127,2252
"13",580303.3,151997.1,20866,14,254,5479059,-144,1336
"14",580706.3,127198.4,10542,52.02,803,8152028,-88,2282
"15",570801.2,135749.7,22543,9.56,-45,7031787,-56,1292
"16",566900.2,135795.4,11497,41.01,421,8285139,90,2115
"17",578000.1,127403.4,14978,35.08,360,8349397,-156,1900
"18",573301.2,143804.4,21165,22.33,227,4999950,2,1347
"19",567801.5,142493.6,21310,16.01,186,5252290,132,1336
"20",578799.6,123597.1,10358,8.41,700,5011782,-108,2336
"21",557469.5,147202.4,32778,6.26,-213,7037498,-27,603
"22",568600.9,124901.6,31047,9.9,-313,6930451,72,801
"23",568803.1,140694.6,22661,14.41,129,5393344,-141,1254
"24",577051.3,151421.4,12172,56.03,517,6183607,-194,2037
"25",571096.7,120205,18269,18.72,320,4770822,-194,1660
"26",571496.8,135100.8,21193,20.53,7,7425415,168,1382
"27",565500,137700,19581,18.26,134,6929796,-81,1475
"28",572202.5,141592.7,22137,22.39,-49,7640057,-135,1291
"29",581099.6,141795.4,15230,22.42,452,6633475,-15,1793
"30",569599.4,122000,26825,19.83,-76,6179005,76,1069
"31",567200.1,136397.2,11332,16.56,351,5661209,265,2171
"32",572198.7,124600.1,25813,21.53,57,5237834,-34,1136
"33",576198.7,143105.2,23714,16.13,1,7343066,-90,1189
"34",579004.1,125798.8,13972,34.4,692,4648120,-30,1998
